belief_responsiveness,contagion_rate,hallucination_rows,label,n_perception_updates,partner_loc_accuracy,partner_loc_claims,perception_grounding_rate,quarantined,responsiveness_n,run,seed
0.7501,0.7365,501,LLM-2B,932,0.5972,3957,0.4624,False,1721,exp01_llm_2b/seed_1011,1011
0.6232,0.6421,637,LLM-2B,983,0.599,3763,0.352,False,1587,exp01_llm_2b/seed_1213,1213
0.5984,0.6061,655,LLM-2B,1215,0.546,4859,0.4609,False,1128,exp01_llm_2b/seed_123,123
0.6901,0.8453,556,LLM-2B,949,0.6217,4066,0.4141,False,1704,exp01_llm_2b/seed_42,42
0.7639,0.7465,564,LLM-2B,957,0.5915,4294,0.4107,False,1669,exp01_llm_2b/seed_456,456
0.5904,0.7939,660,LLM-2B,1103,0.6086,3753,0.4016,False,1399,exp01_llm_2b/seed_789,789
0.8578,0.4923,195,LLM-9B,1099,0.6795,4506,0.8226,False,1800,exp02_llm_9b/seed_1011,1011
0.8744,0.5266,207,LLM-9B,1137,0.7361,4391,0.8179,False,1799,exp02_llm_9b/seed_1213,1213
0.8778,0.5089,224,LLM-9B,1230,0.7782,4666,0.8179,False,1800,exp02_llm_9b/seed_123,123
0.8063,0.5263,171,LLM-9B,942,0.7257,3616,0.8185,False,666,exp02_llm_9b/seed_42,42
0.856,0.3936,188,LLM-9B,1281,0.6622,4550,0.8532,False,1799,exp02_llm_9b/seed_456,456
0.866,0.5439,228,LLM-9B,1135,0.7452,4451,0.7991,False,1799,exp02_llm_9b/seed_789,789
0.6789,0.7273,649,LLM-2B+Heb,981,0.6137,3756,0.3384,False,1610,exp07_llm_2b_social_prompt/seed_1011,1011
0.6722,0.7648,540,LLM-2B+Heb,955,0.619,4160,0.4346,False,1641,exp07_llm_2b_social_prompt/seed_1213,1213
0.6834,0.7218,683,LLM-2B+Heb,1051,0.6172,4746,0.3501,False,1690,exp07_llm_2b_social_prompt/seed_123,123
0.6846,0.7886,615,LLM-2B+Heb,1040,0.6317,4057,0.4087,False,1487,exp07_llm_2b_social_prompt/seed_42,42
0.6642,0.6201,587,LLM-2B+Heb,997,0.4869,3892,0.4112,False,1650,exp07_llm_2b_social_prompt/seed_456,456
0.7359,0.6595,558,LLM-2B+Heb,956,0.5843,4219,0.4163,False,1598,exp07_llm_2b_social_prompt/seed_789,789
0.8628,0.4938,162,LLM-9B+Heb,1121,0.7681,4230,0.8555,False,1800,exp08_llm_9b_social_prompt/seed_1011,1011
