agent2_msg_share,agent2_prox_share,label,n_ch5_damage_overlap,n_joint_dig,n_joint_kill,n_messages,n_pair_episodes,n_proximity,quarantined,rho_ch5_damage_overlap,rho_joint_dig,rho_joint_kill,rho_messages,rho_proximity,run,seed
0.6958,0.6463,LLM-2B+Heb,18,18,18,18,18,18,False,,0.0083,,0.548,0.0871,exp07_llm_2b_social_prompt/seed_1011,1011
0.5745,0.689,LLM-2B+Heb,18,18,18,18,18,18,False,,0.1249,,0.3498,0.3082,exp07_llm_2b_social_prompt/seed_1213,1213
0.662,0.6372,LLM-2B+Heb,18,18,18,18,18,18,False,,-0.5604,,0.8968,-0.075,exp07_llm_2b_social_prompt/seed_123,123
0.5716,0.6206,LLM-2B+Heb,18,18,18,18,18,18,False,,-0.2853,,0.6099,0.2613,exp07_llm_2b_social_prompt/seed_42,42
0.6037,0.6026,LLM-2B+Heb,18,18,18,18,18,18,False,,0.2936,,0.5335,-0.3276,exp07_llm_2b_social_prompt/seed_456,456
0.6734,0.6455,LLM-2B+Heb,18,18,18,18,18,18,False,,0.2166,,0.5418,0.1624,exp07_llm_2b_social_prompt/seed_789,789
0.5937,0.5342,LLM-9B+Heb,18,18,18,18,18,18,False,,0.6747,,0.614,0.4147,exp08_llm_9b_social_prompt/seed_1011,1011
0.6081,0.589,LLM-9B+Heb,18,18,18,18,18,18,False,,0.2749,,0.7379,0.6967,exp08_llm_9b_social_prompt/seed_1213,1213
0.5882,0.635,LLM-9B+Heb,18,18,18,18,18,18,False,,0.1603,,0.5191,0.2364,exp08_llm_9b_social_prompt/seed_123,123
0.5846,0.5993,LLM-9B+Heb,18,18,18,18,18,18,False,,0.3665,,0.6801,0.5806,exp08_llm_9b_social_prompt/seed_42,42
0.587,0.6126,LLM-9B+Heb,18,18,18,18,18,18,False,,0.3811,,0.6182,0.0207,exp08_llm_9b_social_prompt/seed_456,456
0.5838,0.6258,LLM-9B+Heb,18,18,18,18,18,18,False,,0.2945,,0.6656,0.4331,exp08_llm_9b_social_prompt/seed_789,789
0.6459,0.5892,IPPO+Heb,18,18,18,18,18,18,False,,0.0454,,0.7523,0.2654,exp06_ippo_hebbian/seed_1011,1011
0.5115,0.6798,IPPO+Heb,18,18,18,18,18,18,False,,-0.0074,,0.666,0.4935,exp06_ippo_hebbian/seed_123,123
