ch3_stall_latency_mean,comply_rate,eps_W_fulfilled_higher,eps_W_fulfilled_lower,eps_W_tie,frac_answered,frac_comm_before_coop,frac_fulfilled,frac_ignored,label,mean_W_fulfilled,mean_W_ignored,n_W_fulfilled,n_W_ignored,n_ch2_neglect,n_ch3_stalls,n_coop_success,n_deadlocks,n_directives_judged,n_requests,n_runs
148.0,0.7114,0,0,11,0.4887,1.0,0.5042,0.007,Allied-all,0.8,0.8,1073,15,17,3,55,152,1327,2128,6
,0.6664,10,2,0,0.5424,1.0,0.4485,0.0091,Allied-pair,0.3271,0.0762,1037,21,18,6,37,160,1424,2312,6
,0.646,0,0,0,0.3924,1.0,0.5921,0.0155,IPPO,,,0,0,17,10,16,60,4695,5232,6
,0.6144,9,0,0,0.4141,1.0,0.5746,0.0113,IPPO+Heb,0.2796,0.1766,2448,48,15,9,10,48,3905,4260,5
,0.9198,0,0,0,0.1373,1.0,0.8581,0.0047,LLM-2B,,,0,0,18,7,33,94,8358,9031,6
,0.918,8,9,0,0.1919,1.0,0.799,0.0091,LLM-2B+Heb,0.2432,0.2478,8115,92,18,9,25,102,8790,10156,6
,0.6639,0,0,0,0.5281,1.0,0.4587,0.0132,LLM-9B,,,0,0,16,5,59,151,2276,3717,6
,0.7037,8,4,0,0.4987,1.0,0.4916,0.0097,LLM-9B+Heb,0.2482,0.2205,1116,22,17,6,62,156,1404,2270,6
,0.5791,0,0,0,0.4687,1.0,0.5107,0.0206,MAPPO,,,0,0,18,13,10,113,6624,7614,6
,0.678,14,2,0,0.351,1.0,0.6349,0.0141,MAPPO+Heb,0.2649,0.1821,4273,95,18,14,10,88,6269,6730,6
86.6,0.6997,0,0,10,0.5493,1.0,0.4404,0.0102,No-bonds,0.0,0.0,861,20,13,7,42,127,1119,1955,5
