run,label,seed,is_rl,n_requests,frac_fulfilled,frac_answered,frac_ignored,comply_rate,n_directives_judged,n_coop_success,n_deadlocks,n_ch3_stalls,n_ch2_neglect,n_W_fulfilled,n_W_ignored,frac_comm_before_coop,ch3_stall_latency_mean,mean_W_fulfilled,mean_W_ignored
exp01_llm_2b/seed_1011,LLM-2B,1011,False,1263,0.8717,0.1259,0.0024,0.9233,1174,10,17,0,3,0,0,1.0,,,
exp01_llm_2b/seed_1213,LLM-2B,1213,False,1610,0.7516,0.2398,0.0087,0.8508,1401,6,16,1,3,0,0,1.0,,,
exp01_llm_2b/seed_123,LLM-2B,123,False,1887,0.8278,0.1659,0.0064,0.9037,1723,5,20,2,3,0,0,1.0,,,
exp01_llm_2b/seed_42,LLM-2B,42,False,1316,0.8906,0.1056,0.0038,0.9503,1228,4,17,1,3,0,0,1.0,,,
exp01_llm_2b/seed_456,LLM-2B,456,False,1351,0.8882,0.1088,0.003,0.9488,1249,6,18,1,3,0,0,1.0,,,
exp01_llm_2b/seed_789,LLM-2B,789,False,1604,0.9377,0.0599,0.0025,0.9495,1583,2,6,2,3,0,0,1.0,,,
exp02_llm_9b/seed_1011,LLM-9B,1011,False,582,0.4828,0.4828,0.0344,0.7051,356,8,25,1,3,0,0,1.0,,,
exp02_llm_9b/seed_1213,LLM-9B,1213,False,593,0.4789,0.5076,0.0135,0.634,377,9,27,0,3,0,0,1.0,,,
exp02_llm_9b/seed_123,LLM-9B,123,False,703,0.377,0.6174,0.0057,0.7062,371,7,27,3,2,0,0,1.0,,,
exp02_llm_9b/seed_42,LLM-9B,42,False,675,0.5319,0.4622,0.0059,0.7155,457,6,18,1,3,0,0,1.0,,,
exp02_llm_9b/seed_456,LLM-9B,456,False,622,0.4341,0.5563,0.0096,0.5766,385,13,27,0,3,0,0,1.0,,,
exp02_llm_9b/seed_789,LLM-9B,789,False,542,0.4539,0.5332,0.0129,0.6364,330,16,27,0,2,0,0,1.0,,,
exp07_llm_2b_social_prompt/seed_1011,LLM-2B+Heb,1011,False,1821,0.8298,0.1636,0.0066,0.9242,1635,0,18,3,3,1511,12,,,0.2412,0.2202
exp07_llm_2b_social_prompt/seed_1213,LLM-2B+Heb,1213,False,1713,0.8465,0.1506,0.0029,0.9421,1538,1,15,3,3,1450,5,1.0,,0.2413,0.2226
exp07_llm_2b_social_prompt/seed_123,LLM-2B+Heb,123,False,1850,0.7324,0.2551,0.0124,0.8878,1524,4,24,1,3,1355,23,1.0,,0.2374,0.2496
exp07_llm_2b_social_prompt/seed_42,LLM-2B+Heb,42,False,1564,0.8574,0.1349,0.0077,0.966,1382,6,17,0,3,1341,12,1.0,,0.2421,0.2582
exp07_llm_2b_social_prompt/seed_456,LLM-2B+Heb,456,False,1527,0.7511,0.2325,0.0164,0.8982,1267,4,16,2,3,1147,25,1.0,,0.258,0.2741
exp07_llm_2b_social_prompt/seed_789,LLM-2B+Heb,789,False,1681,0.7799,0.2112,0.0089,0.8885,1444,10,12,0,3,1311,15,1.0,,0.242,0.2233
exp08_llm_9b_social_prompt/seed_1011,LLM-9B+Heb,1011,False,280,0.5179,0.4821,0.0,0.6842,190,6,26,1,3,145,0,1.0,,0.2473,
exp08_llm_9b_social_prompt/seed_1213,LLM-9B+Heb,1213,False,417,0.4868,0.5036,0.0096,0.6962,260,11,26,1,3,203,4,1.0,,0.246,0.2148
exp08_llm_9b_social_prompt/seed_123,LLM-9B+Heb,123,False,438,0.4703,0.516,0.0137,0.7463,268,4,27,2,3,206,6,1.0,,0.2614,0.2453
exp08_llm_9b_social_prompt/seed_42,LLM-9B+Heb,42,False,445,0.5079,0.4854,0.0067,0.7594,266,15,26,1,2,226,3,1.0,,0.2604,0.1875
exp08_llm_9b_social_prompt/seed_456,LLM-9B+Heb,456,False,380,0.4579,0.5342,0.0079,0.5959,245,11,27,1,3,174,3,1.0,,0.2323,0.2184
exp08_llm_9b_social_prompt/seed_789,LLM-9B+Heb,789,False,310,0.5226,0.4581,0.0194,0.7371,175,15,24,0,3,162,6,1.0,,0.2347,0.217
exp04_ippo/seed_1011,IPPO,1011,True,0,,,,,0,0,0,2,3,0,0,,,,
exp04_ippo/seed_1213,IPPO,1213,True,0,,,,,0,0,0,2,2,0,0,,,,
exp04_ippo/seed_123,IPPO,123,True,1365,0.7458,0.2447,0.0095,0.7871,1268,4,12,1,3,0,0,1.0,,,
exp04_ippo/seed_42,IPPO,42,True,1348,0.5697,0.4028,0.0274,0.5818,1284,4,10,2,3,0,0,1.0,,,
exp04_ippo/seed_456,IPPO,456,True,1329,0.5658,0.4259,0.0083,0.6324,1159,6,15,1,3,0,0,1.0,,,
exp04_ippo/seed_789,IPPO,789,True,1190,0.4706,0.5126,0.0168,0.564,984,2,23,2,3,0,0,1.0,,,
exp03_mappo/seed_1011,MAPPO,1011,True,1414,0.4873,0.4901,0.0226,0.5638,1222,0,24,3,3,0,0,,,,
exp03_mappo/seed_1213,MAPPO,1213,True,1233,0.4615,0.4931,0.0454,0.5159,1103,0,18,3,3,0,0,,,,
exp03_mappo/seed_123,MAPPO,123,True,1389,0.5076,0.4766,0.0158,0.567,1224,2,17,2,3,0,0,1.0,,,
exp03_mappo/seed_42,MAPPO,42,True,1123,0.5361,0.4452,0.0187,0.5873,1025,0,16,3,3,0,0,,,,
exp03_mappo/seed_456,MAPPO,456,True,1136,0.5299,0.4613,0.0088,0.613,951,4,16,1,3,0,0,1.0,,,
exp03_mappo/seed_789,MAPPO,789,True,1319,0.5466,0.4412,0.0121,0.636,1099,4,22,1,3,0,0,1.0,,,
exp06_ippo_hebbian/seed_1011,IPPO+Heb,1011,True,2,0.0,0.0,1.0,0.0,1,0,0,2,3,0,2,,,,0.0
exp06_ippo_hebbian/seed_123,IPPO+Heb,123,True,1433,0.6141,0.3817,0.0042,0.6306,1386,2,10,2,3,880,6,1.0,,0.2842,0.1349
exp06_ippo_hebbian/seed_42,IPPO+Heb,42,True,1328,0.5444,0.436,0.0196,0.5696,1243,2,21,2,3,723,26,1.0,,0.2685,0.1973
exp06_ippo_hebbian/seed_456,IPPO+Heb,456,True,1496,0.5648,0.4265,0.0087,0.6413,1274,6,17,1,3,845,13,1.0,,0.2842,0.1953
exp06_ippo_hebbian/seed_789,IPPO+Heb,789,True,1,0.0,0.0,1.0,0.0,1,0,0,2,3,0,1,,,,0.0001
exp05_mappo_hebbian/seed_1011,MAPPO+Heb,1011,True,3,0.3333,0.0,0.6667,0.3333,3,0,0,3,3,1,2,,,0.0018,0.0003
exp05_mappo_hebbian/seed_1213,MAPPO+Heb,1213,True,1047,0.6447,0.3362,0.0191,0.6541,1032,2,11,2,3,675,20,1.0,,0.2825,0.2186
exp05_mappo_hebbian/seed_123,MAPPO+Heb,123,True,1854,0.6996,0.2891,0.0113,0.7321,1769,2,18,2,3,1297,21,1.0,,0.2437,0.1777
exp05_mappo_hebbian/seed_42,MAPPO+Heb,42,True,1263,0.5622,0.426,0.0119,0.6276,1117,2,19,2,3,710,15,1.0,,0.2911,0.1415
exp05_mappo_hebbian/seed_456,MAPPO+Heb,456,True,1279,0.5512,0.4363,0.0125,0.6035,1155,2,17,2,3,705,16,1.0,,0.2667,0.1824
