ch3_chain_latency_median,ch3_chains,ch3_msgs,ch3_silent_presses,ch3_switch_talk,dup_rate,label,msgs_per_100_steps,n_messages,n_valid,numeral_rate,object_naming_rate,quarantined,run,seed,teammate_naming_rate
10,33,851,6,361,0.2972,LLM-2B,144.49,7185,3472,0.1702,0.9516,False,exp01_llm_2b/seed_1011,1011,0.1423
9,45,839,3,474,0.3268,LLM-2B,142.4,7217,3436,0.1703,0.9709,False,exp01_llm_2b/seed_1213,1213,0.1478
8,19,1006,2,527,0.2644,LLM-2B,211.8,11380,5511,0.2315,0.9623,False,exp01_llm_2b/seed_123,123,0.1889
10,13,783,2,317,0.3292,LLM-2B,141.24,7228,3411,0.2131,0.9704,False,exp01_llm_2b/seed_42,42,0.1867
6,44,835,6,612,0.3255,LLM-2B,143.22,7214,3453,0.2395,0.9537,False,exp01_llm_2b/seed_456,456,0.1654
14,2,704,1,53,0.4603,LLM-2B,125.93,7194,3026,0.1798,0.4015,False,exp01_llm_2b/seed_789,789,0.1596
9,95,897,4,751,0.0203,LLM-9B,149.77,7197,3599,0.2662,0.8569,False,exp02_llm_9b/seed_1011,1011,0.0956
10,117,900,6,770,0.0281,LLM-9B,149.65,7199,3596,0.243,0.8165,False,exp02_llm_9b/seed_1213,1213,0.1196
1,13,899,5,778,0.0393,LLM-9B,149.47,7968,3973,0.2082,0.8314,False,exp02_llm_9b/seed_123,123,0.1097
8,150,1348,7,1128,0.0404,LLM-9B,219.73,10593,5291,0.2179,0.8193,False,exp02_llm_9b/seed_42,42,0.0941
8,156,896,7,748,0.0278,LLM-9B,149.71,7262,3629,0.2042,0.7958,False,exp02_llm_9b/seed_456,456,0.0885
7,88,897,5,756,0.0335,LLM-9B,149.47,7353,3671,0.219,0.802,False,exp02_llm_9b/seed_789,789,0.1103
,0,822,0,319,0.3483,LLM-2B+Heb,135.76,7216,3276,0.177,0.967,False,exp07_llm_2b_social_prompt/seed_1011,1011,0.1627
0,1,780,1,301,0.3771,LLM-2B+Heb,134.45,7234,3251,0.1449,0.9619,False,exp07_llm_2b_social_prompt/seed_1213,1213,0.1197
12,27,839,2,495,0.2974,LLM-2B+Heb,140.59,8069,3789,0.1623,0.9203,False,exp07_llm_2b_social_prompt/seed_123,123,0.1328
6,46,783,4,623,0.3849,LLM-2B+Heb,137.7,7211,3320,0.1497,0.9599,False,exp07_llm_2b_social_prompt/seed_42,42,0.1358
