action_stuck_loop,critic_false_positive,degenerate_comm,door_confusion,hallucinated_object_belief,hallucinated_object_message,hallucinated_object_thought,idle_pattern,label,quarantined,rl_action_collapse,run,seed,task_repeat_loop
0.42,4.16,5.41,0.83,208.49,226.8,434.46,,LLM-2B,False,,exp01_llm_2b/seed_1011,1011,
1.24,6.63,7.87,0.41,263.99,846.25,1221.72,,LLM-2B,False,,exp01_llm_2b/seed_1213,1213,
1.92,8.46,7.3,,251.73,721.37,1133.74,,LLM-2B,False,,exp01_llm_2b/seed_123,123,0.38
1.24,8.7,11.59,,230.23,424.43,688.61,,LLM-2B,False,,exp01_llm_2b/seed_42,42,
,10.78,10.37,,233.93,307.34,441.73,,LLM-2B,False,,exp01_llm_2b/seed_456,456,
0.42,5.41,49.94,0.42,274.66,353.72,482.73,,LLM-2B,False,,exp01_llm_2b/seed_789,789,0.42
4.58,1.25,,11.24,81.15,87.39,229.3,,LLM-9B,False,,exp02_llm_9b/seed_1011,1011,1.25
4.16,1.66,,9.99,86.14,139.41,372.03,,LLM-9B,False,,exp02_llm_9b/seed_1213,1213,
3.39,1.88,0.75,9.41,84.27,77.5,200.53,,LLM-9B,False,,exp02_llm_9b/seed_123,123,0.75
6.64,1.25,,3.32,71.01,105.48,188.12,,LLM-9B,False,,exp02_llm_9b/seed_42,42,
2.89,2.89,,4.95,77.56,100.66,222.77,,LLM-9B,False,,exp02_llm_9b/seed_456,456,1.65
3.66,3.26,0.81,8.14,92.83,91.61,210.5,,LLM-9B,False,,exp02_llm_9b/seed_789,789,1.22
,4.14,26.94,,268.96,983.84,1548.69,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_1011,1011,
0.41,4.96,28.54,,223.33,354.84,644.75,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_1213,1213,0.41
0.74,6.68,14.47,1.48,253.43,787.76,1324.68,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_123,123,
0.83,7.47,22.81,,255.08,692.66,1025.3,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_42,42,
0.42,14.13,23.69,,243.97,642.98,1060.27,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_456,456,
2.06,8.22,15.21,,229.44,331.83,542.76,,LLM-2B+Heb,False,,exp07_llm_2b_social_prompt/seed_789,789,0.82
3.72,2.9,,5.38,67.03,53.79,188.66,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_1011,1011,
3.32,1.66,,4.14,112.31,178.62,472.44,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_1213,1213,0.41
4.21,1.53,,4.21,80.78,58.96,167.3,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_123,123,0.38
3.72,2.07,,2.89,103.8,136.48,306.87,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_42,42,0.41
7.42,1.65,,5.77,82.41,56.04,173.88,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_456,456,
4.15,1.25,0.83,5.81,95.1,61.05,207.64,,LLM-9B+Heb,False,,exp08_llm_9b_social_prompt/seed_789,789,
,2.37,,0.79,251.38,0.4,946.25,3.56,IPPO,False,14.23,exp04_ippo/seed_1011,1011,
,2.69,,,233.4,1.15,904.8,3.45,IPPO,False,14.97,exp04_ippo/seed_1213,1213,
,8.5,1.93,,250.77,402.24,858.96,,IPPO,False,,exp04_ippo/seed_123,123,0.39
,10.4,0.42,1.25,248.02,432.79,601.33,,IPPO,False,,exp04_ippo/seed_42,42,0.42
,6.66,,,251.35,765.71,963.8,,IPPO,False,,exp04_ippo/seed_456,456,
,8.73,0.42,0.83,264.34,569.83,863.67,,IPPO,False,,exp04_ippo/seed_789,789,0.42
,12.07,1.25,,278.4,1124.43,1571.37,,MAPPO,False,,exp03_mappo/seed_1011,1011,
,11.24,,0.42,251.77,169.37,372.03,,MAPPO,False,,exp03_mappo/seed_1213,1213,0.42
,9.64,0.71,,249.55,528.03,786.86,,MAPPO,False,,exp03_mappo/seed_123,123,0.36
,9.45,1.64,,247.64,500.62,829.57,,MAPPO,False,,exp03_mappo/seed_42,42,
,9.16,3.75,0.83,249.69,645.44,856.01,,MAPPO,False,,exp03_mappo/seed_456,456,0.42
,14.27,1.22,0.41,275.69,1059.95,1403.75,,MAPPO,False,,exp03_mappo/seed_789,789,0.41
,4.61,,1.54,240.58,0.38,774.79,3.46,IPPO+Heb,False,14.99,exp06_ippo_hebbian/seed_1011,1011,
,16.65,1.25,0.42,220.14,44.94,84.89,,IPPO+Heb,False,,exp06_ippo_hebbian/seed_123,123,1.66
,9.94,2.49,1.24,258.91,688.07,1013.67,,IPPO+Heb,False,,exp06_ippo_hebbian/seed_42,42,
,10.68,1.64,,315.4,582.75,1037.78,,IPPO+Heb,False,,exp06_ippo_hebbian/seed_456,456,
,4.57,,1.66,307.85,2.08,851.68,3.74,IPPO+Heb,False,14.96,exp06_ippo_hebbian/seed_789,789,0.42
,4.61,,0.77,303.11,1.54,1164.43,3.46,MAPPO+Heb,False,14.98,exp05_mappo_hebbian/seed_1011,1011,0.38
,15.4,0.83,,253.02,381.61,690.8,,MAPPO+Heb,False,,exp05_mappo_hebbian/seed_1213,1213,
,12.07,,0.69,260.43,529.15,737.84,,MAPPO+Heb,False,,exp05_mappo_hebbian/seed_123,123,
,14.38,1.23,2.88,252.26,193.51,434.26,,MAPPO+Heb,False,,exp05_mappo_hebbian/seed_42,42,1.23
,11.18,0.41,1.66,282.82,772.67,1130.85,,MAPPO+Heb,False,,exp05_mappo_hebbian/seed_456,456,
,14.57,4.16,0.42,279.23,621.72,1004.99,,MAPPO+Heb,False,,exp05_mappo_hebbian/seed_789,789,
2.91,1.66,,8.32,84.48,105.29,295.88,,No-bonds,False,,exp11_llm_9b_allied_none/seed_1011,1011,0.42
3.32,1.25,,6.23,82.26,105.53,271.29,,No-bonds,False,,exp11_llm_9b_allied_none/seed_1213,1213,0.42
3.96,1.59,0.4,6.34,87.59,59.45,167.66,,No-bonds,False,,exp11_llm_9b_allied_none/seed_123,123,
2.44,2.44,0.41,7.33,85.91,53.75,165.31,,No-bonds,False,,exp11_llm_9b_allied_none/seed_42,42,0.41
2.35,1.57,,3.53,93.22,79.91,232.67,,No-bonds,False,,exp11_llm_9b_allied_none/seed_789,789,1.18
2.08,2.49,0.42,4.15,79.77,63.98,188.62,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_1011,1011,0.83
4.52,1.64,,4.93,75.18,43.55,145.44,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_1213,1213,0.41
7.67,0.77,,2.3,70.96,73.65,186.04,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_123,123,
4.58,1.25,0.42,9.16,68.66,60.76,194.34,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_42,42,0.42
3.69,2.46,0.41,4.93,69.79,75.53,257.8,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_456,456,1.64
3.27,2.46,0.41,6.55,81.87,72.86,218.17,,Allied-pair,False,,exp10_llm_9b_allied_pair/seed_789,789,
4.99,1.25,,4.57,80.6,97.22,287.91,,Allied-all,False,,exp09_llm_9b_allied_all/seed_1011,1011,0.42
2.85,4.89,,11.81,73.73,70.88,216.29,,Allied-all,False,,exp09_llm_9b_allied_all/seed_1213,1213,1.22
3.94,0.79,,7.49,84.71,99.68,286.05,,Allied-all,False,,exp09_llm_9b_allied_all/seed_123,123,1.58
4.58,,,4.99,84.89,116.94,272.99,,Allied-all,False,,exp09_llm_9b_allied_all/seed_42,42,0.42
3.73,0.41,,5.81,76.73,94.57,268.77,,Allied-all,False,,exp09_llm_9b_allied_all/seed_456,456,
2.91,0.83,,7.9,76.54,153.91,364.39,,Allied-all,False,,exp09_llm_9b_allied_all/seed_789,789,0.42
