anti_bond_ask_rate,argmax_consistency,ask_msg_adoption,ask_rate,bond_ref_coverage,faith_mae,faith_resolvable,faith_within_005,follow_baseline,follow_same_step,follow_window,label,n_deliberations,quarantined,respond_follow,run,seed
0.1786,0.8036,0.6343,0.5563,0.9128,0.0867,1.0,0.6449,0.5059,0.9382,1.0,LLM-2B+Heb,906,False,0.9818,exp07_llm_2b_social_prompt/seed_1011,1011
0.1236,0.8687,0.644,0.5717,0.9249,0.0777,1.0,0.6467,0.5889,0.9402,1.0,LLM-2B+Heb,906,False,0.9923,exp07_llm_2b_social_prompt/seed_1213,1213
0.1826,0.8032,0.5855,0.5579,0.8932,0.0698,1.0,0.7246,0.5272,0.9201,1.0,LLM-2B+Heb,1011,False,0.9925,exp07_llm_2b_social_prompt/seed_123,123
0.1448,0.8381,0.6234,0.5795,0.9139,0.0797,1.0,0.6793,0.611,0.9505,0.9962,LLM-2B+Heb,906,False,0.9917,exp07_llm_2b_social_prompt/seed_42,42
0.1491,0.835,0.5935,0.557,0.9059,0.0755,1.0,0.6974,0.6148,0.9443,0.996,LLM-2B+Heb,903,False,0.9831,exp07_llm_2b_social_prompt/seed_456,456
0.1806,0.7966,0.5936,0.5768,0.9276,0.0831,1.0,0.6477,0.5348,0.941,1.0,LLM-2B+Heb,912,False,1.0,exp07_llm_2b_social_prompt/seed_789,789
0.1379,0.8621,0.3998,0.032,0.9558,0.0188,1.0,0.889,0.4794,0.7931,1.0,LLM-9B+Heb,906,False,1.0,exp08_llm_9b_social_prompt/seed_1011,1011
0.1923,0.8077,0.3974,0.0287,0.9658,0.0145,1.0,0.8962,0.4932,0.8077,1.0,LLM-9B+Heb,906,False,0.9962,exp08_llm_9b_social_prompt/seed_1213,1213
0.0741,0.9259,0.4008,0.0275,0.946,0.0174,1.0,0.8721,0.5574,0.7037,0.8889,LLM-9B+Heb,981,False,0.9889,exp08_llm_9b_social_prompt/seed_123,123
0.0455,0.9545,0.4136,0.0243,0.9658,0.0115,1.0,0.9527,0.5438,0.8636,1.0,LLM-9B+Heb,906,False,0.9931,exp08_llm_9b_social_prompt/seed_42,42
0.2258,0.7742,0.4596,0.034,0.9463,0.014,1.0,0.9381,0.5331,0.7097,1.0,LLM-9B+Heb,912,False,0.9922,exp08_llm_9b_social_prompt/seed_456,456
0.1,0.9,0.3763,0.0221,0.9557,0.0156,1.0,0.9099,0.604,0.8,1.0,LLM-9B+Heb,903,False,0.9955,exp08_llm_9b_social_prompt/seed_789,789
,,0.3432,0.0011,0.2769,0.0,1.0,1.0,0.4106,0.0,1.0,No-bonds,903,False,0.9914,exp11_llm_9b_allied_none/seed_1011,1011
0.0,1.0,0.3632,0.0022,0.3167,0.0,1.0,1.0,0.4998,0.5,1.0,No-bonds,903,False,0.9865,exp11_llm_9b_allied_none/seed_1213,1213
0.0,1.0,0.4387,0.0011,0.3196,0.0,1.0,1.0,0.5452,1.0,1.0,No-bonds,948,False,0.9916,exp11_llm_9b_allied_none/seed_123,123
0.0,1.0,0.3391,0.0011,0.329,0.0,1.0,1.0,0.6661,0.0,1.0,No-bonds,921,False,1.0,exp11_llm_9b_allied_none/seed_42,42
0.0,1.0,0.3214,0.001,0.3103,0.0,1.0,1.0,0.7893,1.0,1.0,No-bonds,957,False,1.0,exp11_llm_9b_allied_none/seed_789,789
0.0,1.0,0.4667,0.0066,0.7497,0.0,1.0,1.0,0.6507,1.0,1.0,Allied-pair,903,False,1.0,exp10_llm_9b_allied_pair/seed_1011,1011
0.3333,0.6667,0.5159,0.0033,0.7303,0.0,1.0,1.0,0.6182,1.0,1.0,Allied-pair,912,False,1.0,exp10_llm_9b_allied_pair/seed_1213,1213
0.0,1.0,0.3929,0.0061,0.7454,0.0,1.0,1.0,0.6408,1.0,1.0,Allied-pair,978,False,0.9535,exp10_llm_9b_allied_pair/seed_123,123
0.0,1.0,0.3971,0.0024,0.7709,0.0,1.0,1.0,0.5603,1.0,1.0,Allied-pair,825,False,0.972,exp10_llm_9b_allied_pair/seed_42,42
0.0,1.0,0.4185,0.0055,0.7377,0.0006,1.0,0.9993,0.6725,1.0,0.8,Allied-pair,915,False,0.8925,exp10_llm_9b_allied_pair/seed_456,456
0.0,1.0,0.3935,0.0044,0.7386,0.0006,1.0,0.9993,0.7243,1.0,1.0,Allied-pair,918,False,1.0,exp10_llm_9b_allied_pair/seed_789,789
,,,0.0,0.9723,0.0,1.0,1.0,,,,Allied-all,903,False,0.9792,exp09_llm_9b_allied_all/seed_1011,1011
0.0,1.0,0.6911,0.0022,0.9924,0.0,1.0,1.0,0.4765,1.0,1.0,Allied-all,921,False,0.9948,exp09_llm_9b_allied_all/seed_1213,1213
0.0,0.0,0.5753,0.0011,0.9859,0.0,1.0,1.0,0.2206,1.0,1.0,Allied-all,925,False,0.9724,exp09_llm_9b_allied_all/seed_123,123
0.0,1.0,0.5308,0.0011,0.9845,0.0,1.0,1.0,0.2354,1.0,1.0,Allied-all,903,False,0.989,exp09_llm_9b_allied_all/seed_42,42
0.0,1.0,0.4976,0.0011,0.9823,0.0,1.0,1.0,0.3748,1.0,1.0,Allied-all,906,False,0.9408,exp09_llm_9b_allied_all/seed_456,456
0.0,0.6667,0.3777,0.0033,0.9767,0.0,1.0,1.0,0.5447,0.6667,1.0,Allied-all,903,False,0.9949,exp09_llm_9b_allied_all/seed_789,789
