belief_responsiveness,contagion_rate,hallucination_rows,label,n_perception_updates,partner_loc_accuracy,partner_loc_claims,perception_grounding_rate,perception_grounding_strict,perception_net_grounding,perception_specificity,quarantined,responsiveness_n,run,seed
0.8972,0.3623,69,Gemma-E2B,1208,0.8451,2428,0.9429,0.0712,0.0141,0.0861,False,1800,pareto_e2b_base/seed_1011,1011
0.9089,0.6091,110,Gemma-E2B,1185,0.8527,2329,0.9072,0.0565,-0.0363,0.0819,False,1800,pareto_e2b_base/seed_1213,1213
0.9189,0.5778,90,Gemma-E2B,1354,0.8694,2810,0.9335,0.0406,-0.0258,0.062,False,1800,pareto_e2b_base/seed_123,123
0.8794,0.3037,135,Gemma-E2B,1197,0.8137,2351,0.8872,0.0551,-0.0576,0.0919,False,1800,pareto_e2b_base/seed_42,42
0.9072,0.3247,77,Gemma-E2B,1167,0.784,2940,0.934,0.054,-0.012,0.0737,False,1800,pareto_e2b_base/seed_456,456
0.9167,0.33,100,Gemma-E2B,1211,0.7926,2445,0.9174,0.0586,-0.0239,0.0834,False,1800,pareto_e2b_base/seed_789,789
0.9107,0.4706,102,Gemma-E2B+Heb,1192,0.8464,2311,0.9144,0.0436,-0.0419,0.0629,False,1725,pareto_e2b_hebbian/seed_1011,1011
0.8972,0.5604,91,Gemma-E2B+Heb,1106,0.7977,2555,0.9177,0.0488,-0.0335,0.0769,False,1800,pareto_e2b_hebbian/seed_1213,1213
0.8956,0.63,100,Gemma-E2B+Heb,1406,0.8362,2888,0.9289,0.0576,-0.0135,0.0754,False,1800,pareto_e2b_hebbian/seed_123,123
0.9311,0.2273,88,Gemma-E2B+Heb,1129,0.7865,3171,0.9221,0.0912,0.0133,0.1125,False,1800,pareto_e2b_hebbian/seed_42,42
0.895,0.3636,99,Gemma-E2B+Heb,1257,0.7154,2723,0.9212,0.0461,-0.0326,0.0708,False,1800,pareto_e2b_hebbian/seed_456,456
0.9228,0.3077,104,Gemma-E2B+Heb,1126,0.8262,2842,0.9076,0.0488,-0.0435,0.0719,False,1800,pareto_e2b_hebbian/seed_789,789
0.7868,0.1548,155,Gemma-12B,1259,0.6943,5184,0.8769,0.2772,0.1541,0.3034,False,1782,pareto_12b_base/seed_1011,1011
0.7397,0.1864,177,Gemma-12B,1281,0.6098,5556,0.8618,0.2209,0.0827,0.2498,False,1633,pareto_12b_base/seed_1213,1213
0.7814,0.1229,179,Gemma-12B,1522,0.6542,5981,0.8824,0.2116,0.094,0.2352,False,1633,pareto_12b_base/seed_123,123
0.8017,0.2426,136,Gemma-12B,1254,0.6453,5095,0.8915,0.2472,0.1388,0.2767,False,1745,pareto_12b_base/seed_42,42
0.6996,0.0889,180,Gemma-12B,1253,0.6334,5429,0.8563,0.2091,0.0654,0.237,False,1668,pareto_12b_base/seed_456,456
0.8308,0.1905,105,Gemma-12B,788,0.67,2930,0.8668,0.2284,0.0952,0.2487,False,1135,pareto_12b_base/seed_789,789
0.7024,0.0884,181,Gemma-12B+Heb,1278,0.676,4756,0.8584,0.2449,0.1033,0.284,False,1734,pareto_12b_hebbian/seed_1011,1011
0.6479,0.0909,187,Gemma-12B+Heb,1358,0.6639,5358,0.8623,0.2894,0.1517,0.3255,False,1579,pareto_12b_hebbian/seed_1213,1213
0.7436,0.1095,210,Gemma-12B+Heb,1577,0.6229,6367,0.8668,0.1795,0.0463,0.2099,False,1591,pareto_12b_hebbian/seed_123,123
0.6948,0.0847,189,Gemma-12B+Heb,1269,0.5689,5490,0.8511,0.2009,0.052,0.2419,False,1481,pareto_12b_hebbian/seed_42,42
0.7621,0.0874,206,Gemma-12B+Heb,1247,0.6154,5486,0.8348,0.1957,0.0305,0.2422,False,1736,pareto_12b_hebbian/seed_456,456
0.7916,0.0655,168,Gemma-12B+Heb,1265,0.6338,5347,0.8672,0.234,0.1012,0.2664,False,1708,pareto_12b_hebbian/seed_789,789
