ch3_chain_latency_median,ch3_chains,ch3_msgs,ch3_silent_presses,ch3_switch_talk,dup_rate,label,msgs_per_100_steps,n_messages,n_valid,numeral_rate,object_naming_rate,quarantined,run,seed,teammate_naming_rate
,0,889,0,610,0.0747,Gemma-E2B,147.95,7527,3721,0.9893,0.5536,False,pareto_e2b_base/seed_1011,1011,0.9893
5,3,893,2,196,0.0823,Gemma-E2B,148.64,7245,3597,0.9972,0.4785,False,pareto_e2b_base/seed_1213,1213,0.9972
,0,900,0,236,0.0682,Gemma-E2B,149.13,8994,4474,0.992,0.4884,False,pareto_e2b_base/seed_123,123,0.9906
5,8,893,1,196,0.0628,Gemma-E2B,148.78,7332,3645,0.9962,0.4719,False,pareto_e2b_base/seed_42,42,0.9959
5,9,896,3,210,0.0531,Gemma-E2B,148.9,7467,3712,0.9981,0.3537,False,pareto_e2b_base/seed_456,456,0.9968
8,12,889,2,286,0.0765,Gemma-E2B,148.85,7289,3623,0.9967,0.4789,False,pareto_e2b_base/seed_789,789,0.9961
11,14,875,3,194,0.101,Gemma-E2B+Heb,148.29,7255,3593,0.9953,0.4411,False,pareto_e2b_hebbian/seed_1011,1011,0.9947
4,3,882,2,250,0.0679,Gemma-E2B+Heb,148.31,7252,3592,0.9967,0.3366,False,pareto_e2b_hebbian/seed_1213,1213,0.9961
7,7,885,1,87,0.0717,Gemma-E2B+Heb,148.6,8770,4351,0.9954,0.3804,False,pareto_e2b_hebbian/seed_123,123,0.9952
0,3,885,2,271,0.0686,Gemma-E2B+Heb,148.31,7268,3601,0.9933,0.3202,False,pareto_e2b_hebbian/seed_42,42,0.9931
13,1,888,1,103,0.0795,Gemma-E2B+Heb,148.51,7329,3634,0.9975,0.3233,False,pareto_e2b_hebbian/seed_456,456,0.997
,0,887,0,61,0.0689,Gemma-E2B+Heb,148.7,7238,3597,0.9936,0.3636,False,pareto_e2b_hebbian/seed_789,789,0.9925
9,39,874,2,466,0.1913,Gemma-12B,147.43,7233,3559,0.2259,0.6904,False,pareto_12b_base/seed_1011,1011,0.0419
11,41,873,3,299,0.2608,Gemma-12B,145.55,7380,3585,0.2552,0.6457,False,pareto_12b_base/seed_1213,1213,0.0391
5,40,846,4,303,0.2517,Gemma-12B,145.74,8700,4228,0.2107,0.6878,False,pareto_12b_base/seed_123,123,0.0487
8,40,873,4,468,0.2571,Gemma-12B,146.9,7386,3621,0.1895,0.7189,False,pareto_12b_base/seed_42,42,0.032
9,43,865,5,265,0.2638,Gemma-12B,146.49,7257,3548,0.2441,0.5648,False,pareto_12b_base/seed_456,456,0.0242
5,19,876,3,414,0.2064,Gemma-12B,147.14,7272,3571,0.1879,0.6634,False,pareto_12b_base/seed_789,789,0.0294
11,19,879,3,449,0.2103,Gemma-12B+Heb,147.56,7320,3605,0.1603,0.6028,False,pareto_12b_hebbian/seed_1011,1011,0.0227
11,22,886,1,465,0.2312,Gemma-12B+Heb,146.83,7983,3910,0.2084,0.6077,False,pareto_12b_hebbian/seed_1213,1213,0.0325
8,20,873,2,478,0.2307,Gemma-12B+Heb,146.23,9000,4387,0.196,0.5863,False,pareto_12b_hebbian/seed_123,123,0.0153
3,30,911,5,171,0.3155,Gemma-12B+Heb,144.36,7308,3521,0.2141,0.5101,False,pareto_12b_hebbian/seed_42,42,0.0156
8,57,847,5,219,0.2433,Gemma-12B+Heb,145.9,7233,3522,0.1704,0.544,False,pareto_12b_hebbian/seed_456,456,0.0088
10,77,860,4,281,0.2442,Gemma-12B+Heb,146.72,7260,3555,0.1783,0.5474,False,pareto_12b_hebbian/seed_789,789,0.0169
