action_stuck_loop,critic_false_positive,degenerate_comm,door_confusion,hallucinated_object_belief,hallucinated_object_message,hallucinated_object_thought,label,quarantined,run,seed,task_repeat_loop
9.94,,2.39,,27.44,174.95,301.79,Gemma-E2B,False,pareto_e2b_base/seed_1011,1011,
13.22,,0.41,,45.45,159.09,206.61,Gemma-E2B,False,pareto_e2b_base/seed_1213,1213,0.41
11.67,0.67,0.33,,30.0,55.33,185.0,Gemma-E2B,False,pareto_e2b_base/seed_123,123,
7.35,0.41,,,55.1,257.55,389.39,Gemma-E2B,False,pareto_e2b_base/seed_42,42,1.22
7.22,2.01,0.4,,30.89,27.28,177.3,Gemma-E2B,False,pareto_e2b_base/seed_456,456,2.81
7.81,1.64,,0.41,41.08,141.74,182.0,Gemma-E2B,False,pareto_e2b_base/seed_789,789,
10.32,,2.06,,42.1,58.61,138.26,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_1011,1011,0.41
8.67,,1.65,,37.57,19.41,95.38,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_1213,1213,
11.27,0.34,0.68,,34.15,184.43,252.73,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_123,123,0.34
3.71,0.41,1.24,,36.24,16.47,177.92,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_42,42,
6.13,0.82,1.63,,40.46,88.27,360.85,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_456,456,
7.44,0.41,0.83,,42.99,32.24,211.66,Gemma-E2B+Heb,False,pareto_e2b_hebbian/seed_789,789,
10.36,3.31,2.9,3.31,64.21,142.92,358.74,Gemma-12B,False,pareto_12b_base/seed_1011,1011,1.24
6.9,6.09,4.87,4.06,71.86,123.02,270.4,Gemma-12B,False,pareto_12b_base/seed_1213,1213,2.84
10.34,3.1,6.2,2.07,61.7,67.91,268.87,Gemma-12B,False,pareto_12b_base/seed_123,123,3.45
10.14,3.65,1.62,3.65,55.17,29.21,271.4,Gemma-12B,False,pareto_12b_base/seed_42,42,4.46
6.19,3.72,1.65,0.83,74.32,61.52,151.94,Gemma-12B,False,pareto_12b_base/seed_456,456,2.06
8.65,2.88,3.71,1.24,43.26,53.15,189.95,Gemma-12B,False,pareto_12b_base/seed_789,789,2.06
5.32,2.05,2.05,6.14,74.09,86.78,284.9,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_1011,1011,0.41
5.26,3.38,3.0,1.5,70.22,27.41,242.21,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_1213,1213,2.63
10.67,5.67,6.33,1.67,70.0,22.33,168.0,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_123,123,2.0
8.61,6.56,9.43,0.82,77.49,49.2,151.7,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_42,42,4.51
4.97,4.56,4.56,0.83,85.34,139.19,439.93,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_456,456,3.73
7.02,6.19,2.06,0.83,69.34,38.79,287.66,Gemma-12B+Heb,False,pareto_12b_hebbian/seed_789,789,1.65
