condition,n_runs,n_eps,coop_mean,coop_std,coop_seedmean,coop_seedstd,allms_mean,allms_std,task_mean,task_std,task_is_decomposed,furthest_mode,boss_defeats,M8_median,M8_n,M15_median,M15_n,M18_median,M18_n,M23_median,M23_n,gini_mean,gini_std,excl_mean,excl_std,bond_mean,bond_max,sparsity,asymmetry
LLM-2B,3,9,1.7777777777777777,0.6285393610547089,1.7777777777777777,0.3142696805273545,10.333333333333334,0.9428090415820634,437.88802441613024,84.13890309538952,True,3,0,,0,,0,,0,,0,0.09843580758007081,0.028734305189592822,0.2589226764796619,0.023210239870044762,nan,nan,nan,nan
LLM-9B,3,9,3.0,0.9428090415820634,3.0,0.5443310539518172,12.222222222222221,1.547598697464902,613.3563600980992,158.08593001141827,True,4,0,202,1,,0,,0,,0,0.07739170251269405,0.0366817935008228,0.30828264613210116,0.03243289709520983,nan,nan,nan,nan
LLM-2B+Heb,2,6,1.0,1.0,1.0,0.3333333333333333,9.0,2.0,354.2985804491611,238.89619736365933,True,3,0,,0,,0,,0,,0,0.1053921568627451,0.051470588235294115,0.3799019607843137,0.10049019607843138,0.22744699070851007,0.28203699986139935,0.1111111111111111,0.0023496169596910477
LLM-9B+Heb,3,9,2.7777777777777777,0.9162456945817024,2.777777777777778,0.41573970964154905,11.555555555555555,1.2570787221094177,588.3430791146752,129.54464183012462,True,4,0,301,1,,0,,0,,0,0.08007061859838517,0.046893520048954106,0.26368428900216867,0.044309449034882015,0.23588951428731283,0.29567091994815403,0.037037037037037035,0.005684640844938932
IPPO,3,9,1.3333333333333333,0.9428090415820634,1.3333333333333333,0.5443310539518174,8.777777777777779,1.227262335243029,442.0603961118907,106.85660918422606,True,3,0,,0,,0,,0,,0,0.10141243002599935,0.0219069330710846,0.2856846201978945,0.022080767093947077,nan,nan,nan,nan
MAPPO,3,9,1.1111111111111112,1.0999438818457405,1.1111111111111112,0.5665577237325317,9.333333333333334,1.1547005383792515,415.507646846198,103.3158052751077,True,1,0,,0,,0,,0,,0,0.10542309490416084,0.03200468271677383,0.2698690977092099,0.016694199368826875,nan,nan,nan,nan
IPPO+Heb,3,9,1.0,1.1547005383792515,1.0,0.2721655269759087,8.777777777777779,1.314684396244359,408.69473492020876,95.93568123015257,True,1,0,,0,,0,,0,,0,0.08319088319088319,0.02071756007145053,0.3591251885369533,0.0259418078353313,0.22069763640562692,0.2925176951620314,0.25925925925925924,0.0014842006343382377
MAPPO+Heb,3,9,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.0,9.222222222222221,1.3966450099973928,453.7838236891223,97.94978943114184,True,1,0,,0,,0,,0,,0,0.12294565816163676,0.046409230023788224,0.2626064737589967,0.056523929442487596,0.2225799924797482,0.28620567586686874,0.1111111111111111,0.0012238647926736761
No-bonds,3,9,2.3333333333333335,0.6666666666666666,2.3333333333333335,0.2721655269759086,11.11111111111111,1.0999438818457405,579.8673416913152,111.45320870657393,True,3,0,269,1,,0,,0,,0,0.05793700114782981,0.016032244035039143,0.34898272364079913,0.04227618659612065,0.0,0.0,1.0,0.0
Allied-pair,3,9,1.8888888888888888,0.7370277311900889,1.888888888888889,0.1571348402636772,11.0,0.816496580927726,548.7910667038639,86.93769660141386,True,3,0,,0,,0,,0,,0,0.04895115586550055,0.02300395456109062,0.2992744785314445,0.02978705144891083,0.2666666805744171,0.800000011920929,0.6666666666666666,0.0
Allied-all,3,9,2.111111111111111,0.31426968052735443,2.111111111111111,0.1571348402636773,10.666666666666666,0.816496580927726,557.0764133333346,73.09219442376138,True,3,0,,0,,0,,0,,0,0.05967526750252796,0.015677576679067957,0.3151097665267706,0.029914632942831074,0.800000011920929,0.800000011920929,0.0,0.0
