condition,metric,mean,std,n_seeds
LLM-2B,ground,0.4169,0.0376,6
LLM-2B,ploc,0.594,0.0235,6
LLM-2B,contag,0.7284,0.0824,6
LLM-2B,bresp,0.6694,0.0699,6
LLM-9B,ground,0.8215,0.016,6
LLM-9B,ploc,0.7211,0.0393,6
LLM-9B,contag,0.4986,0.0496,6
LLM-9B,bresp,0.8564,0.0238,6
LLM-2B+Heb,coverage,0.9131,0.0115,6
LLM-2B+Heb,ask,0.5665,0.0097,6
LLM-2B+Heb,adopt,0.6124,0.0225,6
LLM-2B+Heb,faith_mae,0.0788,0.0054,6
LLM-2B+Heb,faith_w05,0.6734,0.03,6
LLM-2B+Heb,follow,0.9987,0.0018,6
LLM-2B+Heb,follow_base,0.5638,0.0428,6
LLM-2B+Heb,argmax,0.8242,0.0256,6
LLM-2B+Heb,respond,0.9902,0.0062,6
LLM-2B+Heb,rho_msg,0.58,0.1627,6
LLM-2B+Heb,rho_dig,-0.0337,0.2993,6
LLM-2B+Heb,rho_prox,0.0694,0.2165,6
LLM-2B+Heb,ground,0.3932,0.0358,6
LLM-2B+Heb,ploc,0.5921,0.0492,6
LLM-2B+Heb,contag,0.7137,0.058,6
LLM-2B+Heb,bresp,0.6865,0.0231,6
LLM-9B+Heb,coverage,0.9559,0.008,6
LLM-9B+Heb,ask,0.0281,0.0041,6
LLM-9B+Heb,adopt,0.4079,0.0256,6
LLM-9B+Heb,faith_mae,0.0153,0.0024,6
LLM-9B+Heb,faith_w05,0.9097,0.0279,6
LLM-9B+Heb,follow,0.9815,0.0414,6
LLM-9B+Heb,follow_base,0.5352,0.0412,6
LLM-9B+Heb,argmax,0.8707,0.0636,6
LLM-9B+Heb,respond,0.9943,0.0035,6
LLM-9B+Heb,rho_msg,0.6391,0.0678,6
LLM-9B+Heb,rho_dig,0.3587,0.1586,6
LLM-9B+Heb,rho_prox,0.397,0.2208,6
LLM-9B+Heb,ground,0.8086,0.0275,6
LLM-9B+Heb,ploc,0.7543,0.0208,6
LLM-9B+Heb,contag,0.5294,0.0312,6
LLM-9B+Heb,bresp,0.868,0.0077,6
IPPO,ground,0.4075,0.0133,4
IPPO,ploc,0.569,0.0713,4
IPPO,contag,0.2372,0.0649,4
IPPO,bresp,0.8454,0.026,4
MAPPO,ground,0.3924,0.0337,6
MAPPO,ploc,0.5647,0.0765,6
MAPPO,contag,0.2067,0.0362,6
MAPPO,bresp,0.8386,0.0299,6
IPPO+Heb,rho_msg,0.694,0.0535,3
IPPO+Heb,rho_dig,-0.2742,0.2195,3
IPPO+Heb,rho_prox,0.2467,0.2482,3
IPPO+Heb,ground,0.416,0.0487,3
IPPO+Heb,ploc,0.4862,0.1578,3
IPPO+Heb,contag,0.2173,0.0364,3
IPPO+Heb,bresp,0.8315,0.0723,3
MAPPO+Heb,rho_msg,0.7629,0.0505,5
MAPPO+Heb,rho_dig,0.0283,0.2426,5
MAPPO+Heb,rho_prox,0.3228,0.1286,5
MAPPO+Heb,ground,0.4151,0.0299,5
MAPPO+Heb,ploc,0.6175,0.0455,5
MAPPO+Heb,contag,0.233,0.0329,5
MAPPO+Heb,bresp,0.857,0.0312,5
No-bonds,coverage,0.3105,0.0178,5
No-bonds,ask,0.0013,0.0005,5
No-bonds,adopt,0.3611,0.041,5
No-bonds,faith_mae,0.0,0.0,5
No-bonds,faith_w05,1.0,0.0,5
No-bonds,follow,1.0,0.0,5
No-bonds,follow_base,0.5822,0.1323,5
No-bonds,argmax,1.0,0.0,4
No-bonds,respond,0.9939,0.0053,5
No-bonds,ground,0.8188,0.0053,5
No-bonds,ploc,0.7441,0.0311,5
No-bonds,contag,0.5183,0.0519,5
No-bonds,bresp,0.8512,0.0129,5
Allied-pair,coverage,0.7454,0.0129,6
Allied-pair,ask,0.0047,0.0015,6
Allied-pair,adopt,0.4308,0.0459,6
Allied-pair,faith_mae,0.0002,0.0003,6
Allied-pair,faith_w05,0.9998,0.0003,6
Allied-pair,follow,0.9667,0.0745,6
Allied-pair,follow_base,0.6445,0.05,6
Allied-pair,argmax,0.9445,0.1242,6
Allied-pair,respond,0.9697,0.0387,6
Allied-pair,rho_msg,0.5868,0.0462,6
Allied-pair,rho_dig,0.0457,0.3734,6
Allied-pair,rho_prox,0.0605,0.3282,6
Allied-pair,ground,0.8321,0.0085,6
Allied-pair,ploc,0.7588,0.024,6
Allied-pair,contag,0.5117,0.0557,6
Allied-pair,bresp,0.8701,0.0113,6
Allied-all,coverage,0.9824,0.0065,6
Allied-all,ask,0.0015,0.001,6
Allied-all,adopt,0.5345,0.1021,5
Allied-all,faith_mae,0.0,0.0,6
Allied-all,faith_w05,1.0,0.0,6
Allied-all,follow,1.0,0.0,5
Allied-all,follow_base,0.3704,0.1283,5
Allied-all,argmax,0.7333,0.3887,5
Allied-all,respond,0.9785,0.0187,6
Allied-all,ground,0.8264,0.014,6
Allied-all,ploc,0.7432,0.0198,6
Allied-all,contag,0.5065,0.0523,6
Allied-all,bresp,0.8707,0.0088,6
