condition,n_runs,n_eps,coop_mean,coop_std,coop_seedmean,coop_seedstd,allms_mean,allms_std,task_mean,task_std,task_is_decomposed,furthest_mode,boss_defeats,M8_median,M8_n,M15_median,M15_n,M18_median,M18_n,M23_median,M23_n,gini_mean,gini_std,excl_mean,excl_std,bond_mean,bond_max,sparsity,asymmetry
LLM-2B,6,18,1.5555555555555556,0.8314794192830981,1.5555555555555556,0.4969039949999533,9.777777777777779,1.1811273125260722,357.89148374789227,162.9050733231837,True,3,0,,0,,0,,0,,0,0.0987307664063463,0.03337818962124342,0.3020155686434261,0.06668724155619413,nan,nan,nan,nan
LLM-9B,6,18,3.0,1.0540925533894598,3.0,0.7698003589195008,12.0,1.5275252316519468,622.4817575405858,150.37414256933192,True,4,0,201.0,2,,0,,0,,0,0.0841397250508958,0.029483912634014342,0.31592417448934623,0.04930883980027938,nan,nan,nan,nan
LLM-2B+Heb,6,18,1.1666666666666667,0.9574271077563381,1.1666666666666667,0.7136240321480627,9.277777777777779,1.5204369092671122,363.3045012615407,195.74919063382043,True,3,0,,0,,0,,0,,0,0.08045204070549693,0.03911945764593042,0.35260064273347,0.06532992054402807,0.2252601981163025,0.28395648631784653,0.1111111111111111,0.003728617741553872
LLM-9B+Heb,6,18,2.388888888888889,0.950957931590205,2.388888888888889,0.5905636562630361,10.944444444444445,1.2680791345014808,573.7691837720556,123.01061060653541,True,3,0,301,1,,0,,0,,0,0.0703955703046149,0.0363340528314753,0.2925075245213031,0.053866285919664324,0.2365143953098191,0.29293013777997756,0.037037037037037035,0.005492933715383212
IPPO,4,12,1.1666666666666667,0.9860132971832694,1.1666666666666665,0.5527707983925666,8.666666666666666,1.247219128924647,424.56648094775437,99.47698146237599,True,3,0,,0,,0,,0,,0,0.09391646537664236,0.02298920932761637,0.31247775086270657,0.05019248707782802,nan,nan,nan,nan
MAPPO,6,18,0.7777777777777778,0.9749960430435691,0.7777777777777777,0.5983516452371671,8.722222222222221,1.1928283640879938,390.11701191713206,85.9404833117985,True,1,0,,0,,0,,0,,0,0.10208457384228847,0.05493439421035233,0.28256688063527574,0.045150851908767456,nan,nan,nan,nan
IPPO+Heb,3,9,0.8888888888888888,0.9938079899999065,0.8888888888888888,0.31426968052735443,8.666666666666666,1.247219128924647,403.1391793646532,97.31830295710965,True,1,0,,0,,0,,0,,0,0.08319088319088319,0.02071756007145053,0.3591251885369533,0.0259418078353313,0.22069763640562692,0.2925176951620314,0.25925925925925924,0.0014842006343382377
MAPPO+Heb,5,15,0.6666666666666666,0.8692269873603532,0.6666666666666666,0.0,8.8,1.3759844960366863,424.4218837149865,92.08036596805582,True,1,0,,0,,0,,0,,0,0.13437345550304267,0.040019356862511145,0.3131194398109536,0.08966602747243096,0.22475209534168245,0.2888355076313019,0.1111111111111111,0.0014766169091065724
No-bonds,6,18,2.1666666666666665,0.6009252125773316,2.1666666666666665,0.31914236925211265,11.055555555555555,0.9702360664762767,572.0858401408708,96.63358028421318,True,3,0,269,1,,0,,0,,0,0.0675395160627542,0.031538555060244354,0.3572090995574862,0.051398583994240445,0.0,0.0,1.0,0.0
Allied-pair,6,18,1.8888888888888888,0.7370277311900889,1.888888888888889,0.3142696805273545,10.88888888888889,1.1967032904743342,541.7823759871065,103.43058305189325,True,3,0,,0,,0,,0,,0,0.06022480398043378,0.04152607774840979,0.30404202935675007,0.027763820173989935,0.2666666805744171,0.800000011920929,0.6666666666666666,0.0
Allied-all,6,18,2.2777777777777777,0.558326423395605,2.277777777777778,0.22906142364542556,10.88888888888889,1.048220125784067,573.0957884262739,112.58227741261726,True,3,0,,0,,0,,0,,0,0.07200076162867756,0.03301794526975602,0.3078386735471756,0.023754222047284324,0.800000011920929,0.800000011920929,0.0,0.0
