condition,n_runs,n_eps,coop_mean,coop_std,coop_seedmean,coop_seedstd,allms_mean,allms_std,task_mean,task_std,task_is_decomposed,furthest_mode,boss_defeats,M8_median,M8_n,M15_median,M15_n,M18_median,M18_n,M23_median,M23_n,gini_mean,gini_std,excl_mean,excl_std,bond_mean,bond_max,sparsity,asymmetry
LLM-2B,6,18,1.5555555555555556,0.8314794192830981,1.5555555555555556,0.4969039949999533,9.777777777777779,1.1811273125260722,357.89148374789227,162.9050733231837,True,3,0,,0,,0,,0,,0,0.0987307664063463,0.03337818962124342,0.3020155686434261,0.06668724155619413,nan,nan,nan,nan
LLM-9B,6,18,3.0,1.0540925533894598,3.0,0.7698003589195008,12.0,1.5275252316519468,622.4817575405858,150.37414256933192,True,4,0,201.0,2,,0,,0,,0,0.0841397250508958,0.029483912634014342,0.31592417448934623,0.04930883980027938,nan,nan,nan,nan
LLM-2B+Heb,6,18,1.1666666666666667,0.9574271077563381,1.1666666666666667,0.7136240321480627,9.277777777777779,1.5204369092671122,363.3045012615407,195.74919063382043,True,3,0,,0,,0,,0,,0,0.08045204070549693,0.03911945764593042,0.35260064273347,0.06532992054402807,0.2252601981163025,0.28395648631784653,0.1111111111111111,0.003728617741553872
LLM-9B+Heb,6,18,2.388888888888889,0.950957931590205,2.388888888888889,0.5905636562630361,10.944444444444445,1.2680791345014808,573.7691837720556,123.01061060653541,True,3,0,301,1,,0,,0,,0,0.0703955703046149,0.0363340528314753,0.2925075245213031,0.053866285919664324,0.2365143953098191,0.29293013777997756,0.037037037037037035,0.005492933715383212
IPPO,6,18,0.7777777777777778,0.9749960430435691,0.7777777777777777,0.7114582486036498,6.166666666666667,3.7155828016013257,255.0739672650007,258.86818928045784,True,1,0,,0,,0,,0,,0,0.16635493827041858,0.11759192427256884,0.2947315440533986,0.1335176536272351,nan,nan,nan,nan
MAPPO,6,18,0.7777777777777778,0.9749960430435691,0.7777777777777777,0.5983516452371671,8.722222222222221,1.1928283640879938,390.11701191713206,85.9404833117985,True,1,0,,0,,0,,0,,0,0.10208457384228847,0.05493439421035233,0.28256688063527574,0.045150851908767456,nan,nan,nan,nan
IPPO+Heb,5,15,0.5333333333333333,0.8844332774281066,0.5333333333333333,0.4988876515698588,5.466666666666667,4.047495796442811,199.52235014183594,261.00668214186413,True,1,0,,0,,0,,0,,0,0.05504273504273505,0.038881280367755566,0.3847058823529412,0.06125527067726974,0.1325033784003485,0.17566825651967596,0.5555555555555556,0.0009597641676184981
MAPPO+Heb,6,18,0.5555555555555556,0.8314794192830981,0.5555555555555555,0.24845199749997662,7.611111111111111,2.9653346989072262,360.33719326789856,167.72857068874578,True,1,0,,0,,0,,0,,0,0.15446153971658785,0.057898875117972676,0.29034463121501036,0.09640257570114437,0.1873481529240861,0.24080495538560676,0.2592592592592593,0.0012795464461248713
No-bonds,6,18,2.1666666666666665,0.6009252125773316,2.1666666666666665,0.31914236925211265,11.055555555555555,0.9702360664762767,572.0858401408708,96.63358028421318,True,3,0,269,1,,0,,0,,0,0.0675395160627542,0.031538555060244354,0.3572090995574862,0.051398583994240445,0.0,0.0,1.0,0.0
Allied-pair,6,18,1.8888888888888888,0.7370277311900889,1.888888888888889,0.3142696805273545,10.88888888888889,1.1967032904743342,541.7823759871065,103.43058305189325,True,3,0,,0,,0,,0,,0,0.06022480398043378,0.04152607774840979,0.30404202935675007,0.027763820173989935,0.2666666805744171,0.800000011920929,0.6666666666666666,0.0
Allied-all,6,18,2.2777777777777777,0.558326423395605,2.277777777777778,0.22906142364542556,10.88888888888889,1.048220125784067,573.0957884262739,112.58227741261726,True,3,0,,0,,0,,0,,0,0.07200076162867756,0.03301794526975602,0.3078386735471756,0.023754222047284324,0.800000011920929,0.800000011920929,0.0,0.0
