size,family,arm,n,n_eff,flops_mean,perception_mmmu_pro,reward_mean,reward_sd,milestone_pct_mean,milestone_pct_sd,coop_pct_mean,coop_pct_sd,completions_mean,completions_sd,coop_completions_mean,coop_completions_sd
12b,gemma,base,6,12000000000.0,9.9682e+17,69.1,458.8441,119.3220,24.2222,5.5733,12.7451,7.1374,9.0000,2.6247,3.1667,2.0883
12b,gemma,hebbian,6,12000000000.0,1.0695e+18,69.1,479.3848,143.8320,22.4444,4.2455,10.4575,5.7353,9.0000,2.6034,2.4444,2.1915
e2b,gemma,base,6,2300000000.0,1.8790e+17,44.2,319.8343,144.4623,17.1111,7.0308,5.2288,6.1660,6.6111,3.4503,1.0000,1.2472
e2b,gemma,hebbian,6,2300000000.0,1.9243e+17,44.2,349.3783,120.4154,17.5556,6.1303,4.5752,5.7353,6.6667,2.6874,0.9444,1.3529
e4b,gemma,base,6,4500000000.0,3.2683e+17,52.6,521.1353,117.4643,16.4444,4.7868,8.4967,4.8911,7.1111,1.9405,2.2222,1.5831
e4b,gemma,hebbian,6,4500000000.0,3.4899e+17,52.6,570.4163,125.1764,22.0000,5.5377,12.0915,4.9883,8.6667,2.0817,2.9444,1.4709
qwen2b,qwen,base,6,2000000000.0,2.2286e+17,47.7,357.8915,162.9051,22.8889,4.5812,9.1503,4.8911,9.3889,2.4975,2.3333,1.7951
qwen2b,qwen,hebbian,6,2000000000.0,2.7233e+17,47.7,363.3045,195.7492,20.4444,5.6394,6.8627,5.6319,8.6667,2.8868,1.6111,1.5326
qwen9b,qwen,base,6,9000000000.0,8.9190e+17,63.0,622.4818,150.3741,31.1111,5.0869,17.6471,6.2005,14.2222,2.9918,5.2222,2.4165
qwen9b,qwen,hebbian,6,9000000000.0,7.5059e+17,63.0,573.7692,123.0106,27.3333,5.2068,14.0523,5.5939,13.4444,2.7330,4.6111,1.8601
