size,family,arm,n,n_eff,flops_mean,grounding_mean,grounding_sd,grounding_strict_mean,grounding_strict_sd,specificity_mean,specificity_sd,partner_loc_mean,partner_loc_sd,reward_mean,reward_sd,milestone_pct_mean,milestone_pct_sd,coop_pct_mean,coop_pct_sd,completions_mean,completions_sd,coop_completions_mean,coop_completions_sd,completions_pa_mean,completions_pa_sd,coop_completions_pa_mean,coop_completions_pa_sd
12b,gemma,base,6,12000000000.0,9.9682e+17,0.8726,0.0122,0.2324,0.0236,0.2585,0.0242,0.6512,0.0267,458.8441,119.3220,24.2222,5.5733,12.7451,7.1374,9.0000,2.6247,3.1667,2.0883,3.0000,0.8749,1.0556,0.6961
12b,gemma,hebbian,6,12000000000.0,1.0695e+18,0.8568,0.0112,0.2241,0.0368,0.2616,0.0366,0.6301,0.0348,479.3848,143.8320,22.4444,4.2455,10.4575,5.7353,9.0000,2.6034,2.4444,2.1915,3.0000,0.8678,0.8148,0.7305
e2b,gemma,base,6,2300000000.0,1.8790e+17,0.9204,0.0189,0.0560,0.0089,0.0798,0.0096,0.8262,0.0316,319.8343,144.4623,17.1111,7.0308,5.2288,6.1660,6.6111,3.4503,1.0000,1.2472,2.2037,1.1501,0.3333,0.4157
e2b,gemma,hebbian,6,2300000000.0,1.9243e+17,0.9186,0.0066,0.0560,0.0163,0.0784,0.0159,0.8014,0.0437,349.3783,120.4154,17.5556,6.1303,4.5752,5.7353,6.6667,2.6874,0.9444,1.3529,2.2222,0.8958,0.3148,0.4510
e4b,gemma,base,6,4500000000.0,3.2683e+17,0.8447,0.0125,0.1029,0.0114,0.1835,0.0152,0.7995,0.0260,521.1353,117.4643,16.4444,4.7868,8.4967,4.8911,7.1111,1.9405,2.2222,1.5831,2.3704,0.6468,0.7407,0.5277
e4b,gemma,hebbian,6,4500000000.0,3.4899e+17,0.8427,0.0193,0.0843,0.0263,0.1678,0.0210,0.7902,0.0301,570.4163,125.1764,22.0000,5.5377,12.0915,4.9883,8.6667,2.0817,2.9444,1.4709,2.8889,0.6939,0.9815,0.4903
qwen2b,qwen,base,6,2000000000.0,2.2286e+17,0.4169,0.0376,0.1332,0.0284,0.3632,0.0624,0.5940,0.0235,357.8915,162.9051,22.8889,4.5812,9.1503,4.8911,9.3889,2.4975,2.3333,1.7951,3.1296,0.8325,0.7778,0.5984
qwen2b,qwen,hebbian,6,2000000000.0,2.7233e+17,0.3932,0.0358,0.1275,0.0212,0.3666,0.0351,0.5921,0.0492,363.3045,195.7492,20.4444,5.6394,6.8627,5.6319,8.6667,2.8868,1.6111,1.5326,2.8889,0.9623,0.5370,0.5109
qwen9b,qwen,base,6,9000000000.0,8.9190e+17,0.8215,0.0160,0.4147,0.0363,0.5066,0.0404,0.7212,0.0393,622.4818,150.3741,31.1111,5.0869,17.6471,6.2005,14.2222,2.9918,5.2222,2.4165,4.7407,0.9973,1.7407,0.8055
qwen9b,qwen,hebbian,6,9000000000.0,7.5059e+17,0.8087,0.0275,0.4188,0.0233,0.5101,0.0375,0.7543,0.0208,573.7692,123.0106,27.3333,5.2068,14.0523,5.5939,13.4444,2.7330,4.6111,1.8601,4.4815,0.9110,1.5370,0.6200
