size,family,arm,n_seeds,n_eff,mean_flops,mean_reward,sd_reward,mean_milestone_pct,sd_milestone_pct,mean_coop_pct,sd_coop_pct,mean_completions,sd_completions,mean_coop_completions,sd_coop_completions
12b,gemma,base,6,12000000000.0,9.9682e+17,458.8441,75.7988,24.2222,3.7158,12.7451,4.4281,9.0000,1.6193,3.1667,1.1690
12b,gemma,hebbian,6,12000000000.0,1.0695e+18,479.3848,97.2038,22.4444,3.5193,10.4575,4.5845,9.0000,2.1292,2.4444,1.5729
e2b,gemma,base,6,2300000000.0,1.8790e+17,319.8343,81.1060,17.1111,4.5737,5.2288,4.5845,6.6111,2.1542,1.0000,0.7888
e2b,gemma,hebbian,6,2300000000.0,1.9243e+17,349.3783,50.4203,17.5556,3.5193,4.5752,2.9520,6.6667,1.3166,0.9444,0.6116
e4b,gemma,base,6,4500000000.0,3.2683e+17,521.1353,84.2369,16.4444,2.6218,8.4967,3.2019,7.1111,1.3771,2.2222,1.0037
e4b,gemma,hebbian,6,4500000000.0,3.4899e+17,570.4163,99.6604,22.0000,4.4422,12.0915,3.3773,8.6667,1.7385,2.9444,1.2368
qwen2b,qwen,base,6,2000000000.0,2.2286e+17,357.8915,122.0052,22.8889,3.3110,9.1503,3.2019,9.3889,1.8064,2.3333,1.1738
qwen2b,qwen,hebbian,6,2000000000.0,2.7233e+17,363.3045,133.0207,20.4444,4.7454,6.8627,4.5984,8.6667,2.0221,1.6111,1.2003
qwen9b,qwen,base,6,9000000000.0,8.9190e+17,622.4818,87.7201,31.1111,4.1024,17.6471,4.9604,14.2222,1.8094,5.2222,1.5587
qwen9b,qwen,hebbian,6,9000000000.0,7.5059e+17,573.7692,76.2065,27.3333,3.2387,14.0523,3.8055,13.4444,1.2413,4.6111,1.3236
