condition,seed,t_env,test_total_return_mean,total_return_mean,test_ep_length_mean
hebb_s_nocomm,0,50000,0.0639,0.0507,50.0
hebb_s_nocomm,0,100000,0.0319,0.0,50.0
hebb_s_nocomm,0,150000,0.0213,0.0,50.0
hebb_s_nocomm,0,200000,0.016,0.0,50.0
hebb_s_nocomm,0,250000,0.0128,0.0,50.0
hebb_s_nocomm,0,300000,0.0,0.0006,50.0
hebb_s_nocomm,0,350000,0.0019,0.0073,50.0
hebb_s_nocomm,0,400000,0.0038,0.0077,50.0
hebb_s_nocomm,0,450000,0.0057,0.0062,50.0
hebb_s_nocomm,0,500000,0.0088,0.0103,50.0
hebb_s_nocomm,0,550000,0.0111,0.0059,50.0
hebb_s_nocomm,0,600000,0.0106,0.0079,50.0
hebb_s_nocomm,0,650000,0.0106,0.0041,50.0
hebb_s_nocomm,0,700000,0.0087,0.0079,50.0
hebb_s_nocomm,0,750000,0.0061,0.001,50.0
hebb_s_nocomm,0,800000,0.0038,0.0007,50.0
hebb_s_nocomm,0,850000,0.0024,0.0,50.0
hebb_s_nocomm,0,900000,0.0005,0.0,50.0
hebb_s_nocomm,0,950000,0.0005,0.0,50.0
hebb_s_nocomm,0,1000000,0.0,0.0,50.0
hebb_s_nocomm,0,1050000,0.0,0.0,50.0
hebb_s_nocomm,0,1100000,0.0,0.0039,50.0
hebb_s_nocomm,0,1150000,0.001,0.0086,50.0
hebb_s_nocomm,0,1200000,0.0015,0.0075,50.0
hebb_s_nocomm,0,1250000,0.003,0.0058,50.0
hebb_s_nocomm,0,1300000,0.0037,0.0054,50.0
hebb_s_nocomm,0,1350000,0.0071,0.0023,50.0
hebb_s_nocomm,0,1400000,0.0062,0.0049,50.0
hebb_s_nocomm,0,1450000,0.0088,0.0079,50.0
hebb_s_nocomm,0,1500000,0.0091,0.0102,50.0
hebb_s_nocomm,0,1550000,0.0099,0.0094,50.0
hebb_s_nocomm,0,1600000,0.0066,0.0116,50.0
hebb_s_nocomm,0,1650000,0.0069,0.0081,50.0
hebb_s_nocomm,0,1700000,0.0069,0.0083,50.0
hebb_s_nocomm,0,1750000,0.0086,0.0089,50.0
hebb_s_nocomm,0,1800000,0.0112,0.0085,50.0
hebb_s_nocomm,0,1850000,0.0125,0.0102,50.0
hebb_s_nocomm,0,1900000,0.0133,0.0083,50.0
hebb_s_nocomm,0,1950000,0.0116,0.0088,50.0
hebb_s_nocomm,0,2000000,0.0099,0.01,50.0
hebb_s_nocomm,0,2050000,0.0072,0.0064,50.0
hebb_s_nocomm,0,2100000,0.006,0.0073,50.0
hebb_s_nocomm,0,2150000,0.0062,0.0059,50.0
hebb_s_nocomm,0,2200000,0.0067,0.006,50.0
hebb_s_nocomm,0,2250000,0.0077,0.0078,50.0
hebb_s_nocomm,0,2300000,0.0084,0.0075,50.0
hebb_s_nocomm,0,2350000,0.0099,0.0095,50.0
hebb_s_nocomm,0,2400000,0.0085,0.0087,50.0
hebb_s_nocomm,0,2450000,0.008,0.0094,50.0
hebb_s_nocomm,0,2500000,0.0063,0.0069,50.0
hebb_s_nocomm,0,2550000,0.0081,0.0079,50.0
hebb_s_nocomm,0,2600000,0.0103,0.0068,50.0
hebb_s_nocomm,0,2650000,0.0118,0.0083,50.0
hebb_s_nocomm,0,2700000,0.013,0.0099,50.0
hebb_s_nocomm,0,2750000,0.0142,0.0096,50.0
hebb_s_nocomm,0,2800000,0.0114,0.0063,50.0
hebb_s_nocomm,0,2850000,0.0086,0.0072,50.0
hebb_s_nocomm,0,2900000,0.0088,0.0094,50.0
