variant,seed,final_window_mean,n_eval_points,peak
mappo_hebbian,0,0.0000,60,0.0000
mappo_hebbian,1,0.0000,60,0.0000
mappo_hebbian,2,0.0000,60,0.0000
mappo_hebbian,3,0.0000,60,0.0000
mappo_hebbian,4,0.0000,60,0.0000
mappo_hebbian_r,0,0.0000,60,0.0000
mappo_hebbian_r,1,0.0000,60,0.0000
mappo_hebbian_r,2,0.0000,60,0.0000
mappo_hebbian_r,3,0.0000,60,0.0000
mappo_hebbian_r,4,0.0000,60,0.0000
mappo_hebbian_uniform_r,0,0.0000,60,0.0000
mappo_hebbian_uniform_r,1,0.0000,60,0.0000
mappo_hebbian_uniform_r,2,0.0000,60,0.0000
mappo_hebbian_uniform_r,3,0.0000,60,0.0000
mappo_hebbian_uniform_r,4,0.0000,60,0.0000
